Month,City,Company,Total Monthly Hours,TariffRate
October,Noida,Reliance Energy,1082.4,8.2
June,Noida,Tata Power Company Ltd.,4514.4,8.2
December,Noida,Reliance Energy,1034.88,8.2
March,Noida,Orient Green,1929.6,8.2
July,Noida,Indowind Energy,3924,8.2
July,Noida,Reliance Energy,3405.6,8.2
March,Noida,Tata Power Company Ltd.,1699.2,8.2
July,Noida,Adani Power Ltd.,4989.6,8.2
June,Noida,Adani Power Ltd.,3362.4,8.2
December,Noida,Tata Power Company Ltd.,944.64,8.2
February,Noida,Reliance Energy,927.36,8.2
June,Noida,Indowind Energy,3103.2,8.2
January,Noida,Orient Green,1088.64,8.2
November,Noida,Indowind Energy,969.6,8.2
December,Noida,Indowind Energy,938.88,8.2
July,Noida,Tata Power Company Ltd.,3607.2,8.2
December,Noida,Indowind Energy,1042.56,8.2
February,Noida,Orient Green,883.2,8.2
September,Noida,Adani Power Ltd.,1477.44,8.2
July,Noida,Orient Green,4276.8,8.2
August,Noida,Orient Green,2041.2,8.2
September,Noida,Reliance Energy,1103.04,8.2
December,Noida,Orient Green,1121.28,8.2
November,Noida,Orient Green,1054.08,8.2
November,Noida,Reliance Energy,921.6,8.2
August,Noida,Indowind Energy,1731.6,8.2
March,Noida,Adani Power Ltd.,1399.2,8.2
May,Noida,Orient Green,2980.8,8.2
January,Noida,Orient Green,1169.28,8.2
December,Noida,Tata Power Company Ltd.,858.24,8.2
April,Pune,Tata Power Company Ltd.,653.4,9.1
November,Pune,Reliance Energy,170.72,9.1
October,Pune,Reliance Energy,248.05,9.1
February,Pune,Reliance Energy,161.04,9.1
April,Pune,Orient Green,519.75,9.1
October,Pune,Orient Green,227.15,9.1
September,Pune,Tata Power Company Ltd.,384.78,9.1
June,Pune,Indowind Energy,988.35,9.1
July,Pune,Adani Power Ltd.,912.45,9.1
October,Pune,Adani Power Ltd.,288.2,9.1
January,Pune,Tata Power Company Ltd.,271.92,9.1
August,Pune,Orient Green,440.55,9.1
June,Pune,Indowind Energy,925.65,9.1
October,Pune,Orient Green,337.15,9.1
June,Pune,Reliance Energy,620.4,9.1
December,Pune,Indowind Energy,291.72,9.1
February,Pune,Tata Power Company Ltd.,194.04,9.1
January,Pune,Orient Green,199.32,9.1
June,Pune,Adani Power Ltd.,945.45,9.1
January,Pune,Reliance Energy,189.64,9.1
June,Pune,Tata Power Company Ltd.,661.65,9.1
August,Pune,Orient Green,440.55,9.1
October,Pune,Adani Power Ltd.,277.75,9.1
June,Pune,Adani Power Ltd.,1056,9.1
November,Pune,Indowind Energy,208.56,9.1
May,Pune,Adani Power Ltd.,782.1,9.1
October,Pune,Adani Power Ltd.,153.45,9.1
July,Pune,Orient Green,990,9.1
March,Pune,Orient Green,288.2,9.1
September,Pune,Adani Power Ltd.,443.52,9.1
January,Pune,Tata Power Company Ltd.,237.6,9.1
December,Pune,Tata Power Company Ltd.,195.36,9.1
August,Pune,Indowind Energy,409.2,9.1
April,Pune,Tata Power Company Ltd.,358.875,9.1
November,Pune,Orient Green,187.44,9.1
March,Pune,Adani Power Ltd.,298.1,9.1
January,Pune,Orient Green,321.64,9.1
January,Pune,Adani Power Ltd.,293.48,9.1
April,Pune,Adani Power Ltd.,702.9,9.1
December,Pune,Orient Green,294.8,9.1
March,Pune,Reliance Energy,218.35,9.1
December,Pune,Reliance Energy,264.88,9.1
March,Pune,Adani Power Ltd.,177.65,9.1
August,Pune,Tata Power Company Ltd.,373.725,9.1
March,Pune,Orient Green,305.8,9.1
May,Pune,Indowind Energy,581.9,9.1
November,Pune,Reliance Energy,268.4,9.1
October,Pune,Tata Power Company Ltd.,183.7,9.1
July,Pune,Orient Green,917.4,9.1
June,Pune,Reliance Energy,669.9,9.1
November,Pune,Tata Power Company Ltd.,226.6,9.1
December,Pune,Tata Power Company Ltd.,100.76,9.1
December,Pune,Reliance Energy,330,9.1
January,Pune,Indowind Energy,217.36,9.1
December,Pune,Adani Power Ltd.,258.72,9.1
February,Pune,Adani Power Ltd.,156.64,9.1
July,Pune,Indowind Energy,998.25,9.1
June,Pune,Tata Power Company Ltd.,603.9,9.1
July,Pune,Adani Power Ltd.,1013.1,9.1
October,Pune,Adani Power Ltd.,215.05,9.1
December,Pune,Indowind Energy,247.72,9.1
November,Pune,Tata Power Company Ltd.,297,9.1
January,Pune,Tata Power Company Ltd.,238.48,9.1
October,Pune,Reliance Energy,269.5,9.1
April,Pune,Reliance Energy,499.125,9.1
October,Pune,Tata Power Company Ltd.,327.25,9.1
December,Pune,Indowind Energy,291.72,9.1
June,Pune,Adani Power Ltd.,862.95,9.1
April,Pune,Orient Green,412.5,9.1
July,Pune,Orient Green,551.1,9.1
February,Pune,Orient Green,301.4,9.1
September,Pune,Adani Power Ltd.,407.88,9.1
July,Pune,Tata Power Company Ltd.,730.95,9.1
July,Pune,Reliance Energy,587.4,9.1
June,Pune,Orient Green,1018.05,9.1
November,Pune,Orient Green,454.96,9.1
May,Pune,Adani Power Ltd.,436.7,9.1
April,Pune,Tata Power Company Ltd.,361.35,9.1
November,Pune,Reliance Energy,212.96,9.1
December,Pune,Indowind Energy,254.76,9.1
September,Pune,Reliance Energy,328.02,9.1
October,Pune,Orient Green,283.8,9.1
July,Pune,Adani Power Ltd.,1009.8,9.1
June,Pune,Orient Green,986.7,9.1
April,Pune,Indowind Energy,442.2,9.1
March,Pune,Orient Green,393.8,9.1
August,Pune,Indowind Energy,362.175,9.1
February,Pune,Adani Power Ltd.,304.48,9.1
February,Pune,Reliance Energy,257.84,9.1
June,Pune,Reliance Energy,410.85,9.1
March,Pune,Tata Power Company Ltd.,328.35,9.1
May,Pune,Reliance Energy,359.7,9.1
February,Pune,Tata Power Company Ltd.,130.68,9.1
June,Pune,Adani Power Ltd.,760.65,9.1
April,Pune,Indowind Energy,405.075,9.1
May,Pune,Indowind Energy,808.5,9.1
October,Pune,Reliance Energy,169.95,9.1
July,Pune,Indowind Energy,427.35,9.1
April,Pune,Tata Power Company Ltd.,565.125,9.1
October,Pune,Reliance Energy,269.5,9.1
August,Pune,Adani Power Ltd.,401.775,9.1
October,Pune,Adani Power Ltd.,231.55,9.1
April,Pune,Adani Power Ltd.,327.525,9.1
March,Pune,Orient Green,331.1,9.1
September,Pune,Tata Power Company Ltd.,280.5,9.1
September,Pune,Adani Power Ltd.,330.66,9.1
April,Pune,Reliance Energy,389.4,9.1
October,Pune,Reliance Energy,268.4,9.1
May,Pune,Adani Power Ltd.,666.6,9.1
November,Pune,Indowind Energy,208.12,9.1
September,Pune,Indowind Energy,381.48,9.1
September,Pune,Indowind Energy,455.4,9.1
April,Pune,Indowind Energy,382.8,9.1
July,Pune,Orient Green,544.5,9.1
December,Pune,Tata Power Company Ltd.,121.88,9.1
November,Pune,Reliance Energy,150.92,9.1
January,Pune,Tata Power Company Ltd.,254.76,9.1
October,Pune,Adani Power Ltd.,227.7,9.1
January,Pune,Orient Green,295.68,9.1
June,Pune,Tata Power Company Ltd.,711.15,9.1
October,Pune,Indowind Energy,178.75,9.1
September,Pune,Adani Power Ltd.,357.72,9.1
January,Pune,Orient Green,259.16,9.1
March,Pune,Adani Power Ltd.,307.45,9.1
July,Pune,Adani Power Ltd.,818.4,9.1
October,Pune,Adani Power Ltd.,211.2,9.1
July,Pune,Indowind Energy,1920.6,9.1
June,Pune,Indowind Energy,2362.8,9.1
August,Pune,Tata Power Company Ltd.,891,9.1
April,Pune,Adani Power Ltd.,1056,9.1
December,Pune,Adani Power Ltd.,422.4,9.1
July,Pune,Indowind Energy,2316.6,9.1
March,Pune,Orient Green,710.6,9.1
September,Pune,Reliance Energy,987.36,9.1
October,Pune,Indowind Energy,533.5,9.1
January,Pune,Indowind Energy,415.36,9.1
October,Pune,Adani Power Ltd.,405.9,9.1
September,Pune,Tata Power Company Ltd.,649.44,9.1
September,Pune,Reliance Energy,656.04,9.1
April,Pune,Reliance Energy,679.8,9.1
March,Pune,Adani Power Ltd.,598.4,9.1
November,Pune,Orient Green,513.04,9.1
September,Pune,Reliance Energy,731.28,9.1
August,Pune,Orient Green,1042.8,9.1
July,Pune,Adani Power Ltd.,2085.6,9.1
April,Pune,Reliance Energy,1016.4,9.1
June,Pune,Orient Green,1788.6,9.1
October,Pune,Reliance Energy,704,9.1
February,Pune,Orient Green,417.12,9.1
June,Pune,Tata Power Company Ltd.,1745.7,9.1
May,Pune,Tata Power Company Ltd.,954.8,9.1
November,Pune,Adani Power Ltd.,616.88,9.1
July,Pune,Orient Green,1755.6,9.1
September,Pune,Tata Power Company Ltd.,590.04,9.1
March,Pune,Indowind Energy,515.9,9.1
February,Pune,Tata Power Company Ltd.,341.44,9.1
November,Pune,Tata Power Company Ltd.,371.36,9.1
December,Pune,Tata Power Company Ltd.,427.68,9.1
January,Pune,Indowind Energy,442.64,9.1
March,Pune,Adani Power Ltd.,339.9,9.1
July,Pune,Adani Power Ltd.,1626.9,9.1
February,Pune,Reliance Energy,271.92,9.1
March,Pune,Reliance Energy,675.4,9.1
July,Pune,Indowind Energy,2131.8,9.1
October,Pune,Tata Power Company Ltd.,569.8,9.1
July,Pune,Reliance Energy,1356.3,9.1
October,Pune,Indowind Energy,875.6,9.1
July,Pune,Adani Power Ltd.,1719.3,9.1
June,Pune,Reliance Energy,1983.3,9.1
October,Pune,Adani Power Ltd.,801.9,9.1
August,Pune,Adani Power Ltd.,730.95,9.1
May,Pune,Indowind Energy,908.6,9.1
January,Pune,Tata Power Company Ltd.,563.2,9.1
May,Pune,Adani Power Ltd.,888.8,9.1
February,Pune,Orient Green,528,9.1
January,Pune,Indowind Energy,515.68,9.1
October,Pune,Orient Green,705.1,9.1
June,Pune,Adani Power Ltd.,1580.7,9.1
August,Pune,Orient Green,1161.6,9.1
September,Pune,Adani Power Ltd.,504.24,9.1
August,Pune,Indowind Energy,1009.8,9.1
May,Pune,Adani Power Ltd.,374,9.1
July,Pune,Reliance Energy,1745.7,9.1
September,Pune,Tata Power Company Ltd.,710.16,9.1
July,Pune,Reliance Energy,1659.9,9.1
November,Pune,Reliance Energy,236.72,9.1
February,Pune,Adani Power Ltd.,391.6,9.1
May,Pune,Reliance Energy,862.4,9.1
September,Pune,Reliance Energy,681.12,9.1
October,Pune,Adani Power Ltd.,541.2,9.1
March,Pune,Reliance Energy,831.6,9.1
August,Pune,Reliance Energy,1163.25,9.1
March,Pune,Indowind Energy,420.2,9.1
March,Pune,Indowind Energy,674.3,9.1
July,Pune,Orient Green,2597.1,9.1
February,Pune,Adani Power Ltd.,400.4,9.1
December,Pune,Reliance Energy,476.08,9.1
August,Pune,Tata Power Company Ltd.,640.2,9.1
May,Pune,Orient Green,1460.8,9.1
July,Pune,Orient Green,2402.4,9.1
May,Pune,Orient Green,1300.2,9.1
August,Pune,Adani Power Ltd.,800.25,9.1
May,Pune,Tata Power Company Ltd.,1034,9.1
October,Pune,Reliance Energy,687.5,9.1
December,Pune,Adani Power Ltd.,511.28,9.1
September,Pune,Indowind Energy,403.92,9.1
September,Pune,Tata Power Company Ltd.,568.92,9.1
November,Pune,Orient Green,331.76,9.1
March,Pune,Adani Power Ltd.,617.1,9.1
August,Pune,Tata Power Company Ltd.,938.85,9.1
June,Pune,Tata Power Company Ltd.,1336.5,9.1
June,Pune,Indowind Energy,1343.1,9.1
November,Pune,Orient Green,459.36,9.1
February,Pune,Orient Green,316.8,9.1
August,Pune,Reliance Energy,897.6,9.1
May,Pune,Orient Green,1159.4,9.1
December,Pune,Tata Power Company Ltd.,292.16,9.1
November,Pune,Reliance Energy,332.64,9.1
September,Pune,Tata Power Company Ltd.,405.24,9.1
May,Pune,Adani Power Ltd.,862.4,9.1
April,Pune,Tata Power Company Ltd.,856.35,9.1
April,Pune,Tata Power Company Ltd.,719.4,9.1
September,Pune,Indowind Energy,715.44,9.1
October,Pune,Reliance Energy,592.9,9.1
September,Pune,Orient Green,980.76,9.1
December,Pune,Adani Power Ltd.,420.64,9.1
July,Pune,Adani Power Ltd.,1379.4,9.1
June,Pune,Indowind Energy,1666.5,9.1
October,Pune,Reliance Energy,451,9.1
May,Pune,Reliance Energy,965.8,9.1
August,Pune,Adani Power Ltd.,914.1,9.1
August,Pune,Orient Green,1069.2,9.1
May,Pune,Indowind Energy,1210,9.1
May,Pune,Adani Power Ltd.,1502.6,9.1
November,Pune,Orient Green,511.28,9.1
July,Pune,Orient Green,1293.6,9.1
December,Pune,Reliance Energy,509.52,9.1
January,Pune,Indowind Energy,655.6,9.1
May,Pune,Reliance Energy,1632.4,9.1
September,Pune,Tata Power Company Ltd.,608.52,9.1
December,Pune,Tata Power Company Ltd.,289.52,9.1
September,Pune,Orient Green,906.84,9.1
November,Pune,Orient Green,382.8,9.1
December,Pune,Adani Power Ltd.,264.88,9.1
September,Pune,Reliance Energy,594,9.1
June,Pune,Indowind Energy,2270.4,9.1
March,Pune,Reliance Energy,732.6,9.1
July,Pune,Adani Power Ltd.,1211.1,9.1
May,Pune,Adani Power Ltd.,1199,9.1
December,Pune,Adani Power Ltd.,593.12,9.1
June,Pune,Reliance Energy,2554.2,9.1
February,Pune,Reliance Energy,280.72,9.1
February,Pune,Reliance Energy,710.16,9.1
January,Pune,Tata Power Company Ltd.,451.44,9.1
February,Pune,Tata Power Company Ltd.,466.4,9.1
July,Pune,Adani Power Ltd.,1349.7,9.1
February,Pune,Adani Power Ltd.,257.84,9.1
November,Pune,Adani Power Ltd.,513.92,9.1
March,Pune,Orient Green,682,9.1
January,Pune,Orient Green,621.28,9.1
April,Pune,Indowind Energy,1227.6,9.1
December,Pune,Reliance Energy,401.28,9.1
May,Pune,Orient Green,1179.2,9.1
November,Pune,Orient Green,412.72,9.1
December,Pune,Tata Power Company Ltd.,533.28,9.1
December,Pune,Orient Green,628.32,9.1
July,Pune,Orient Green,1574.1,9.1
January,Pune,Reliance Energy,510.4,9.1
December,Pune,Orient Green,394.24,9.1
May,Pune,Indowind Energy,1133,9.1
December,Pune,Reliance Energy,469.04,9.1
November,Pune,Reliance Energy,488.4,9.1
October,Pune,Adani Power Ltd.,421.3,9.1
July,Pune,Reliance Energy,1933.8,9.1
March,Pune,Reliance Energy,477.4,9.1
April,Pune,Tata Power Company Ltd.,1316.7,9.1
October,Pune,Orient Green,570.9,9.1
February,Pune,Adani Power Ltd.,300.96,9.1
December,Pune,Adani Power Ltd.,482.24,9.1
April,Pune,Reliance Energy,1217.7,9.1
June,Pune,Adani Power Ltd.,1659.9,9.1
December,Pune,Tata Power Company Ltd.,457.6,9.1
June,Pune,Indowind Energy,2217.6,9.1
June,Pune,Reliance Energy,2075.7,9.1
January,Pune,Orient Green,435.6,9.1
June,Pune,Orient Green,1353,9.1
June,Pune,Reliance Energy,1838.1,9.1
March,Pune,Indowind Energy,645.7,9.1
March,Pune,Tata Power Company Ltd.,381.7,9.1
March,Pune,Adani Power Ltd.,830.5,9.1
July,Pune,Reliance Energy,1402.5,9.1
September,Pune,Reliance Energy,597.96,9.1
April,Pune,Indowind Energy,790.35,9.1
August,Pune,Tata Power Company Ltd.,945.45,9.1
May,Pune,Orient Green,1584,9.1
July,Pune,Tata Power Company Ltd.,2029.5,9.1
December,Pune,Indowind Energy,408.32,9.1
February,Pune,Indowind Energy,596.64,9.1
April,Pune,Reliance Energy,759,9.1
March,Pune,Reliance Energy,587.4,9.1
December,Pune,Tata Power Company Ltd.,790.24,9.1
February,Pune,Indowind Energy,373.12,9.1
June,Pune,Orient Green,2026.2,9.1
April,Pune,Tata Power Company Ltd.,783.75,9.1
January,Pune,Tata Power Company Ltd.,362.56,9.1
January,Pune,Indowind Energy,390.72,9.1
April,Pune,Reliance Energy,1090.65,9.1
September,Pune,Orient Green,594,9.1
October,Pune,Tata Power Company Ltd.,404.8,9.1
July,Pune,Indowind Energy,1481.7,9.1
July,Pune,Orient Green,2026.2,9.1
August,Pune,Indowind Energy,825,9.1
January,Pune,Indowind Energy,629.2,9.1
August,Pune,Reliance Energy,963.6,9.1
July,Pune,Tata Power Company Ltd.,1392.6,9.1
December,Pune,Orient Green,488.4,9.1
March,Pune,Orient Green,777.7,9.1
June,Pune,Orient Green,1234.2,9.1
December,Pune,Tata Power Company Ltd.,455.84,9.1
March,Pune,Tata Power Company Ltd.,380.6,9.1
February,Pune,Indowind Energy,265.76,9.1
June,Pune,Indowind Energy,1511.4,9.1
September,Pune,Orient Green,908.16,9.1
November,Pune,Tata Power Company Ltd.,485.76,9.1
September,Pune,Tata Power Company Ltd.,778.8,9.1
April,Pune,Reliance Energy,508.2,9.1
August,Pune,Orient Green,523.05,9.1
May,Pune,Indowind Energy,805.2,9.1
January,Pune,Indowind Energy,564.08,9.1
July,Pune,Orient Green,2524.5,9.1
December,Pune,Reliance Energy,416.24,9.1
July,Pune,Adani Power Ltd.,1164.9,9.1
February,Pune,Orient Green,333.52,9.1
October,Pune,Tata Power Company Ltd.,895.4,9.1
June,Pune,Orient Green,1323.3,9.1
February,Pune,Indowind Energy,507.76,9.1
May,Pune,Adani Power Ltd.,1606,9.1
October,Pune,Adani Power Ltd.,606.1,9.1
February,Pune,Reliance Energy,440.88,9.1
April,Pune,Adani Power Ltd.,716.1,9.1
April,Pune,Reliance Energy,722.7,9.1
May,Pune,Orient Green,1289.2,9.1
October,Pune,Indowind Energy,609.4,9.1
February,Pune,Orient Green,616.88,9.1
March,Pune,Orient Green,739.2,9.1
December,Pune,Orient Green,579.92,9.1
July,Pune,Indowind Energy,2253.9,9.1
February,Pune,Adani Power Ltd.,290.4,9.1
August,Pune,Orient Green,869.55,9.1
September,Pune,Adani Power Ltd.,712.8,9.1
June,Pune,Adani Power Ltd.,1702.8,9.1
February,Pune,Tata Power Company Ltd.,397.76,9.1
October,Pune,Orient Green,344.3,9.1
October,Pune,Reliance Energy,590.7,9.1
February,Pune,Orient Green,282.48,9.1
August,Pune,Tata Power Company Ltd.,414.15,9.1
April,Pune,Tata Power Company Ltd.,737.55,9.1
March,Pune,Reliance Energy,557.7,9.1
January,Pune,Orient Green,452.32,9.1
January,Pune,Indowind Energy,557.92,9.1
May,Pune,Indowind Energy,1326.6,9.1
December,Pune,Reliance Energy,439.12,9.1
May,Pune,Orient Green,1190.2,9.1
August,Pune,Indowind Energy,1379.4,9.1
March,Pune,Tata Power Company Ltd.,334.4,9.1
March,Pune,Indowind Energy,770,9.1
July,Pune,Orient Green,2161.5,9.1
December,Pune,Reliance Energy,366.96,9.1
August,Pune,Tata Power Company Ltd.,792,9.1
November,Pune,Adani Power Ltd.,491.04,9.1
October,Pune,Orient Green,607.2,9.1
August,Pune,Orient Green,691.35,9.1
April,Pune,Orient Green,478.5,9.1
August,Pune,Tata Power Company Ltd.,651.75,9.1
August,Pune,Adani Power Ltd.,783.75,9.1
May,Pune,Adani Power Ltd.,657.8,9.1
June,Pune,Adani Power Ltd.,874.5,9.1
March,Pune,Orient Green,522.5,9.1
July,Pune,Tata Power Company Ltd.,1168.2,9.1
July,Pune,Tata Power Company Ltd.,1085.7,9.1
March,Pune,Adani Power Ltd.,783.2,9.1
June,Pune,Orient Green,1052.7,9.1
March,Pune,Indowind Energy,622.6,9.1
July,Pune,Reliance Energy,1372.8,9.1
June,Pune,Indowind Energy,1834.8,9.1
February,Pune,Adani Power Ltd.,381.92,9.1
September,Pune,Indowind Energy,832.92,9.1
March,Pune,Indowind Energy,577.5,9.1
February,Pune,Indowind Energy,337.92,9.1
July,Pune,Reliance Energy,1989.9,9.1
June,Pune,Adani Power Ltd.,2032.8,9.1
January,Pune,Indowind Energy,411.84,9.1
April,Pune,Indowind Energy,960.3,9.1
April,Pune,Orient Green,886.05,9.1
December,Pune,Adani Power Ltd.,560.56,9.1
September,Pune,Reliance Energy,975.48,9.1
June,Pune,Reliance Energy,1712.7,9.1
November,Pune,Orient Green,623.92,9.1
March,Pune,Tata Power Company Ltd.,847,9.1
February,Pune,Tata Power Company Ltd.,339.68,9.1
April,Pune,Orient Green,676.5,9.1
November,Pune,Reliance Energy,466.4,9.1
November,Pune,Indowind Energy,579.04,9.1
August,Pune,Tata Power Company Ltd.,605.55,9.1
July,Pune,Indowind Energy,1039.5,9.1
June,Ratnagiri,Adani Power Ltd.,692.4,7.4
February,Ratnagiri,Orient Green,153.92,7.4
May,Ratnagiri,Indowind Energy,288.8,7.4
May,Ratnagiri,Indowind Energy,516.8,7.4
April,Ratnagiri,Tata Power Company Ltd.,335.4,7.4
December,Ratnagiri,Reliance Energy,201.28,7.4
July,Ratnagiri,Adani Power Ltd.,481.2,7.4
April,Ratnagiri,Indowind Energy,240.6,7.4
January,Ratnagiri,Orient Green,141.44,7.4
August,Ratnagiri,Reliance Energy,220.2,7.4
June,Ratnagiri,Indowind Energy,465.6,7.4
May,Ratnagiri,Reliance Energy,573.6,7.4
June,Ratnagiri,Tata Power Company Ltd.,490.8,7.4
January,Ratnagiri,Adani Power Ltd.,191.36,7.4
August,Ratnagiri,Reliance Energy,544.2,7.4
September,Ratnagiri,Orient Green,316.32,7.4
February,Ratnagiri,Adani Power Ltd.,168.96,7.4
February,Ratnagiri,Orient Green,154.88,7.4
February,Ratnagiri,Adani Power Ltd.,179.52,7.4
July,Ratnagiri,Tata Power Company Ltd.,700.8,7.4
December,Ratnagiri,Reliance Energy,152,7.4
May,Ratnagiri,Reliance Energy,523.2,7.4
August,Ratnagiri,Adani Power Ltd.,366.6,7.4
December,Ratnagiri,Indowind Energy,186.88,7.4
August,Ratnagiri,Adani Power Ltd.,329.4,7.4
June,Ratnagiri,Adani Power Ltd.,337.2,7.4
October,Ratnagiri,Reliance Energy,294.8,7.4
August,Ratnagiri,Adani Power Ltd.,259.2,7.4
March,Ratnagiri,Indowind Energy,225.2,7.4
January,Ratnagiri,Adani Power Ltd.,180.16,7.4
December,Ratnagiri,Orient Green,111.04,7.4
July,Ratnagiri,Orient Green,614.4,7.4
August,Ratnagiri,Adani Power Ltd.,315.6,7.4
September,Ratnagiri,Reliance Energy,132.96,7.4
November,Ratnagiri,Indowind Energy,214.08,7.4
December,Ratnagiri,Adani Power Ltd.,186.88,7.4
August,Ratnagiri,Reliance Energy,300.6,7.4
February,Ratnagiri,Reliance Energy,144,7.4
June,Ratnagiri,Tata Power Company Ltd.,566.4,7.4
September,Ratnagiri,Indowind Energy,263.04,7.4
May,Ratnagiri,Indowind Energy,508.8,7.4
May,Ratnagiri,Adani Power Ltd.,454.4,7.4
December,Ratnagiri,Reliance Energy,158.72,7.4
June,Ratnagiri,Adani Power Ltd.,688.8,7.4
May,Ratnagiri,Orient Green,423.2,7.4
October,Ratnagiri,Adani Power Ltd.,256.8,7.4
July,Ratnagiri,Reliance Energy,627.6,7.4
October,Ratnagiri,Orient Green,230.8,7.4
June,Ratnagiri,Adani Power Ltd.,686.4,7.4
April,Ratnagiri,Tata Power Company Ltd.,242.4,7.4
October,Ratnagiri,Orient Green,170,7.4
November,Ratnagiri,Tata Power Company Ltd.,176.64,7.4
November,Ratnagiri,Tata Power Company Ltd.,166.72,7.4
February,Ratnagiri,Orient Green,206.4,7.4
December,Ratnagiri,Indowind Energy,126.08,7.4
February,Ratnagiri,Indowind Energy,151.36,7.4
September,Ratnagiri,Tata Power Company Ltd.,293.76,7.4
September,Ratnagiri,Indowind Energy,300.48,7.4
March,Ratnagiri,Reliance Energy,158.4,7.4
December,Ratnagiri,Indowind Energy,128,7.4
January,Ratnagiri,Adani Power Ltd.,218.88,7.4
June,Ratnagiri,Adani Power Ltd.,620.4,7.4
March,Ratnagiri,Tata Power Company Ltd.,227.6,7.4
August,Ratnagiri,Adani Power Ltd.,360,7.4
July,Ratnagiri,Orient Green,574.8,7.4
October,Ratnagiri,Tata Power Company Ltd.,214.4,7.4
July,Ratnagiri,Reliance Energy,547.2,7.4
February,Ratnagiri,Adani Power Ltd.,183.36,7.4
November,Ratnagiri,Reliance Energy,99.52,7.4
February,Ratnagiri,Adani Power Ltd.,182.72,7.4
March,Ratnagiri,Tata Power Company Ltd.,200.8,7.4
November,Ratnagiri,Reliance Energy,184,7.4
October,Ratnagiri,Indowind Energy,160.8,7.4
January,Ratnagiri,Tata Power Company Ltd.,247.68,7.4
February,Ratnagiri,Orient Green,217.92,7.4
May,Ratnagiri,Indowind Energy,408.8,7.4
April,Ratnagiri,Reliance Energy,334.2,7.4
November,Ratnagiri,Indowind Energy,213.12,7.4
February,Ratnagiri,Indowind Energy,207.04,7.4
April,Ratnagiri,Orient Green,360,7.4
August,Ratnagiri,Indowind Energy,245.4,7.4
June,Ratnagiri,Orient Green,868.8,7.4
December,Ratnagiri,Orient Green,120.96,7.4
May,Ratnagiri,Tata Power Company Ltd.,402.4,7.4
August,Ratnagiri,Adani Power Ltd.,305.4,7.4
November,Ratnagiri,Indowind Energy,146.56,7.4
May,Ratnagiri,Indowind Energy,432.8,7.4
July,Ratnagiri,Indowind Energy,668.4,7.4
November,Ratnagiri,Orient Green,96.96,7.4
June,Ratnagiri,Adani Power Ltd.,771.6,7.4
January,Ratnagiri,Orient Green,188.48,7.4
July,Ratnagiri,Adani Power Ltd.,744,7.4
October,Ratnagiri,Adani Power Ltd.,267.2,7.4
September,Ratnagiri,Reliance Energy,253.44,7.4
January,Ratnagiri,Adani Power Ltd.,160,7.4
July,Ratnagiri,Adani Power Ltd.,483.6,7.4
April,Ratnagiri,Adani Power Ltd.,334.2,7.4
March,Ratnagiri,Reliance Energy,244.8,7.4
May,Ratnagiri,Indowind Energy,436,7.4
July,Ratnagiri,Tata Power Company Ltd.,643.2,7.4
April,Ratnagiri,Reliance Energy,355.8,7.4
May,Ratnagiri,Reliance Energy,292.8,7.4
February,Ratnagiri,Indowind Energy,113.92,7.4
August,Ratnagiri,Orient Green,345.6,7.4
July,Ratnagiri,Adani Power Ltd.,762,7.4
April,Ratnagiri,Tata Power Company Ltd.,160.2,7.4
July,Ratnagiri,Indowind Energy,735.6,7.4
January,Ratnagiri,Indowind Energy,186.24,7.4
May,Ratnagiri,Indowind Energy,489.6,7.4
April,Ratnagiri,Indowind Energy,295.8,7.4
October,Ratnagiri,Adani Power Ltd.,132.4,7.4
February,Ratnagiri,Tata Power Company Ltd.,135.36,7.4
May,Ratnagiri,Adani Power Ltd.,420.8,7.4
October,Ratnagiri,Reliance Energy,216.4,7.4
February,Ratnagiri,Adani Power Ltd.,189.44,7.4
May,Ratnagiri,Indowind Energy,462.4,7.4
May,Ratnagiri,Tata Power Company Ltd.,562.4,7.4
November,Ratnagiri,Orient Green,180.8,7.4
July,Ratnagiri,Tata Power Company Ltd.,714,7.4
July,Ratnagiri,Tata Power Company Ltd.,837.6,7.4
July,Ratnagiri,Indowind Energy,576,7.4
September,Ratnagiri,Tata Power Company Ltd.,233.28,7.4
September,Ratnagiri,Indowind Energy,258.24,7.4
February,Ratnagiri,Indowind Energy,125.12,7.4
October,Ratnagiri,Reliance Energy,286.4,7.4
August,Ratnagiri,Indowind Energy,322.8,7.4
September,Ratnagiri,Tata Power Company Ltd.,279.36,7.4
December,Ratnagiri,Reliance Energy,162.24,7.4
August,Ratnagiri,Reliance Energy,379.8,7.4
April,Ratnagiri,Orient Green,427.8,7.4
May,Ratnagiri,Adani Power Ltd.,525.6,7.4
February,Ratnagiri,Indowind Energy,191.68,7.4
October,Ratnagiri,Indowind Energy,223.2,7.4
April,Ratnagiri,Tata Power Company Ltd.,325.8,7.4
February,Ratnagiri,Orient Green,111.36,7.4
November,Ratnagiri,Indowind Energy,168.64,7.4
September,Ratnagiri,Tata Power Company Ltd.,268.8,7.4
April,Ratnagiri,Indowind Energy,320.4,7.4
September,Ratnagiri,Reliance Energy,291.84,7.4
July,Ratnagiri,Tata Power Company Ltd.,640.8,7.4
December,Ratnagiri,Tata Power Company Ltd.,178.88,7.4
November,Ratnagiri,Tata Power Company Ltd.,207.04,7.4
